date,location,event,participants_on_record,source_urls,notes,deep_search_event,deep_search_notes
1992-07-01,Palm Beach FL (Mar-a-Lago),Private club party captured on NBC archival video,Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Video shows presence only; no allegations made.,pending,
1992-11-15,Palm Beach FL,Additional NBC archive reporting on 1992 Mar-a-Lago party footage,NBC News (archival); Donald Trump; Jeffrey Epstein,https://www.nbcnews.com/video/archives-trump-and-epstein-at-1992-party-1595387587925,Secondary anchor noting presence on tape; corroborative reference.,pending,
1996-09-01,New York NY,Media references to Epstein philanthropy and science patronage (pre-2000),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Early public-profile context.,pending,
1998-04-01,Little St. James USVI,Acquisition of Little St. James island,Jeffrey Epstein (via L.S.J. LLC),"https://en.wikipedia.org/wiki/Little_Saint_James,_U.S._Virgin_Islands",Ownership anchor; real-estate records referenced across reputable sources.,pending,
1998-04-30,U.S. Virgin Islands (St. Thomas),Press references to deed/LLC records tied to purchase of Little St. James,Jeffrey Epstein; L.S.J. LLC,"https://en.wikipedia.org/wiki/Little_Saint_James,_U.S._Virgin_Islands",Ownership context anchor; use for property timeline.,pending,
1998-10-01,New York NY,Press mentions of Epstein philanthropic donations via media profiles (late 1990s),Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Contextual media profile; presence as subject of reporting.,pending,
1999-02-01,New York NY,Society-page coverage of Epstein in NYC social circuit (1999),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Public-profile article used as context anchor.,pending,
2000-02-15,New York NY,Charity gala/photo-call appearances in NYC society pages (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Context anchor for public social presence; no allegations.,pending,
2000-09-01,New York NY,Public references to private jet travel and social calendar (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,General travel/social context; no passenger lists here.,pending,
2001-05-01,New York NY,Coverage of social events featuring Epstein in NYC circuit (early 2000s),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Presence in society reporting; no event allegations.,pending,
2001-11-05,New York NY,Public reporting on philanthropy and science patronage,Jeffrey Epstein (subject),https://nymag.com/nymetro/news/people/n_7912/,Profile context; appearance in media timeline.,pending,
2002-02-09,New York NY,New York Magazine item mentions of Epstein in elite circles (2002),Jeffrey Epstein (subject),https://nymag.com/nymetro/news/people/n_7912/,Public-profile context anchor.,pending,
2002-05-01,Africa (trip reported),Public reporting of 2002 trip with prominent figures,Public figures named in articles,https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Travel reporting context (use as backdrop only).,pending,
2002-05-22,Africa (reported travel),Press accounts of 2002 Africa trip with public figures,Public figures named in articles,https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Travel reporting context; use only as backdrop.,pending,
2002-08-01,New York NY,NYT profile: financier with science philanthropy (public bio context),Jeffrey Epstein (subject),https://www.nytimes.com/2002/08/01/business/financier-jeffrey-epstein-philanthropist-with-a-passion-for-science.html,Public bio/profile; context only.,pending,
2003-03-01,New York NY,Vanity Fair profile publication,Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Magazine profile anchor (publication date).,pending,
2003-03-01,New York NY,Vanity Fair profile publication (context),Jeffrey Epstein (subject),https://www.vanityfair.com/news/2003/03/jeffrey-epstein-200303,Profile anchor; presence as subject of reporting.,pending,
2004-01-15,Palm Beach FL,PBPD begins compiling materials related to complaints (pre-2005 reporting),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Pre-investigation context per timelines.,pending,
2004-08-12,Palm Beach FL,Press references to PBPD inquiry run-up (pre-2005),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Timeline context prior to formal probe publicity.,pending,
2005-01-21,Palm Beach FL,Deposition excerpt (later produced) confirms travel to USVI and gifts for 'guests',Household staff witness,(uploaded doc),From unsealed civil bundle; staff describes purchasing clothing gifts and travel patterns.,pending,
2005-03-01,Palm Beach FL,PBPD opens investigation (triggered by complaint),Palm Beach Police Department; Det. Joseph Recarey,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation start anchor.,pending,
2005-03-15,Palm Beach FL,PBPD investigation window (complaint received; inquiry begins),Palm Beach Police Department,https://abcnews.go.com/US/timeline-jeffrey-epstein-case/story?id=64753989,Investigation anchor per mainstream timeline.,pending,
2005-07-25,Palm Beach FL,Search warrants and affidavits reported in media coverage of PBPD probe,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Media summary of warrant activity; used as timeline color.,pending,
2005-07-25,Palm Beach FL,Warrant/affidavit activity reported by local media during PBPD investigation,Palm Beach Police Department,https://www.miaminewtimes.com/news/the-secret-life-of-jeffrey-epstein-6391777,Local reporting anchor; contemporaneous coverage.,pending,
2006-01-01,Phoenix/Scottsdale AZ,Founding of nonprofit Everyday Heroes Like You (EHLY); later IRS 501(c)(3),Erika Frantzve (Kirk); EHLY,https://projects.propublica.org/nonprofits/organizations/263416850;https://www.arizonafoothillsmagazine.com/features/az-giving/6169--az-giving-spotlight-erika-frantzve-of-everyday-heroes-like-you.html,ProPublica lists EIN 26-3416850; interview describes founding year range.,pending,
2006-05-12,Palm Beach FL,Press notes growing PBPD case file and state-level actions,Palm Beach County State Attorney; PBPD,https://apnews.com/article/epstein-maxwell-timeline-b9f15710fabb72e8581c71e94acf513e,Procedural milestone (reporting).,pending,
2006-06-01,Palm Beach FL,Escalation of investigation and filings,Palm Beach County State Attorney; PBPD,https://apnews.com/article/epstein-maxwell-timeline-b9f15710fabb72e8581c71e94acf513e,Legal-procedural milestone.,pending,
2007-06-30,Miami FL,Non-prosecution agreement period referenced in press histories,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Miami Herald investigative backdrop on NPA timeline.,pending,
2007-07-09,Miami FL,Miami Herald reporting later outlines NPA history and negotiations,U.S. Attorney’s Office (SDFL); defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Background on NPA timeline; investigative series anchor.,pending,
2007-11-30,Miami FL,Non-prosecution agreement (NPA) background detailed by Miami Herald investigation,SDFL; defense counsel,https://www.miamiherald.com/news/state/florida/article220097825.html,Investigative series timeline anchor.,pending,
2008-06-30,Palm Beach FL,Florida plea & sentencing reported,State of Florida; Jeffrey Epstein,https://www.britannica.com/biography/Jeffrey-Epstein,Outcome anchor; links to reference timeline.,pending,
